cik_num,date,doc_link,filings,html_link,inter_link,sic_num,xbrl_link
0000315066,2013-02-14,https://www.sec.gov/Archives/edgar/data/1326380/000031506613002471/0000315066-13-002471-index.htm,SC 13G/A,,N/A,0000,N/A
N/A,2013-02-12,https://www.sec.gov/Archives/edgar/data/1326380/000093247113003716/0000932471-13-003716-index.htm,SC 13G/A,,N/A,N/A,N/A
0001326380,2013-02-08,https://www.sec.gov/Archives/edgar/data/1326380/000130522713000463/0001305227-13-000463-index.htm,SC 13G/A,,N/A,5734,N/A
N/A,2013-01-11,https://www.sec.gov/Archives/edgar/data/1326380/000090630413000091/0000906304-13-000091-index.htm,SC 13G,,N/A,N/A,N/A
0001326380,2012-12-05,https://www.sec.gov/Archives/edgar/data/1326380/000119312512492205/0001193125-12-492205-index.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000119312512492205/d417598d10q.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0001193125-12-492205&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000119312512492205/gme-20121027.xml
0001326380,2012-11-15,https://www.sec.gov/Archives/edgar/data/1326380/000115752312006091/0001157523-12-006091-index.htm,8-K,,N/A,5734,N/A
0001326380,2012-09-05,https://www.sec.gov/Archives/edgar/data/1326380/000119312512381205/0001193125-12-381205-index.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000119312512381205/d385850d10q.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0001193125-12-381205&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000119312512381205/gme-20120728.xml
0001326380,2012-08-16,https://www.sec.gov/Archives/edgar/data/1326380/000115752312004573/0001157523-12-004573-index.htm,8-K,,N/A,5734,N/A
0001326380,2012-07-27,https://www.sec.gov/Archives/edgar/data/1326380/000095013812000351/0000950138-12-000351-index.htm,8-K,,N/A,5734,N/A
0001326380,2012-06-21,https://www.sec.gov/Archives/edgar/data/1326380/000119312512278365/0001193125-12-278365-index.htm,8-K,,N/A,5734,N/A
0001326380,2012-06-06,https://www.sec.gov/Archives/edgar/data/1326380/000119312512262005/0001193125-12-262005-index.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000119312512262005/d354414d10q.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0001193125-12-262005&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000119312512262005/gme-20120428.xml
0001326380,2012-05-17,https://www.sec.gov/Archives/edgar/data/1326380/000115752312002957/0001157523-12-002957-index.htm,8-K,,N/A,5734,N/A
0001326380,2012-05-11,https://www.sec.gov/Archives/edgar/data/1326380/000115752312002821/0001157523-12-002821-index.htm,8-K,,N/A,5734,N/A
0001326380,2012-05-10,https://www.sec.gov/Archives/edgar/data/1326380/000119312512225085/0001193125-12-225085-index.htm,DEFA14A,,N/A,5734,N/A
0001326380,2012-05-10,https://www.sec.gov/Archives/edgar/data/1326380/000119312512225064/0001193125-12-225064-index.htm,DEF 14A,,N/A,5734,N/A
0001326380,2012-04-11,https://www.sec.gov/Archives/edgar/data/1326380/000108636412002323/0001086364-12-002323-index.htm,SC 13G/A,,N/A,5734,N/A
N/A,2012-04-10,https://www.sec.gov/Archives/edgar/data/1326380/000108525612000027/0001085256-12-000027-index.htm,SC 13G/A,,N/A,N/A,N/A
0001326380,2012-03-27,https://www.sec.gov/Archives/edgar/data/1326380/000119312512134615/0001193125-12-134615-index.htm,10-K,https://www.sec.gov/Archives/edgar/data/1326380/000119312512134615/d283661d10k.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0001193125-12-134615&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000119312512134615/gme-20120128.xml
0001326380,2012-03-26,https://www.sec.gov/Archives/edgar/data/1326380/000115752312001532/0001157523-12-001532-index.htm,8-K,,N/A,5734,N/A
0000315066,2012-02-14,https://www.sec.gov/Archives/edgar/data/1326380/000031506612002663/0000315066-12-002663-index.htm,SC 13G/A,,N/A,0000,N/A
0000861177,2012-02-14,https://www.sec.gov/Archives/edgar/data/1326380/000086117712000009/0000861177-12-000009-index.htm,SC 13G/A,,N/A,0000,N/A
0001326380,2012-02-10,https://www.sec.gov/Archives/edgar/data/1326380/000095013812000135/0000950138-12-000135-index.htm,8-K,,N/A,5734,N/A
N/A,2012-02-10,https://www.sec.gov/Archives/edgar/data/1326380/000093247112003360/0000932471-12-003360-index.htm,SC 13G,,N/A,N/A,N/A
N/A,2012-02-09,https://www.sec.gov/Archives/edgar/data/1326380/000108525612000012/0001085256-12-000012-index.htm,SC 13G/A,,N/A,N/A,N/A
0001326380,2012-02-09,https://www.sec.gov/Archives/edgar/data/1326380/000108636412000362/0001086364-12-000362-index.htm,SC 13G/A,,N/A,5734,N/A
0001326380,2012-02-08,https://www.sec.gov/Archives/edgar/data/1326380/000115752312000597/0001157523-12-000597-index.htm,8-K,,N/A,5734,N/A
0001326380,2011-12-07,https://www.sec.gov/Archives/edgar/data/1326380/000119312511333737/0001193125-11-333737-index.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000119312511333737/d248585d10q.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0001193125-11-333737&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000119312511333737/gme-20111029.xml
0001326380,2011-11-17,https://www.sec.gov/Archives/edgar/data/1326380/000115752311006894/0001157523-11-006894-index.htm,8-K,,N/A,5734,N/A
0001326380,2011-10-11,https://www.sec.gov/Archives/edgar/data/1326380/000000000011059522/0000000000-11-059522-index.htm,UPLOAD,,N/A,5734,N/A
0001326380,2011-10-04,https://www.sec.gov/Archives/edgar/data/1326380/000119312511263719/0001193125-11-263719-index.htm,10-Q/A,https://www.sec.gov/Archives/edgar/data/1326380/000119312511263719/d222403d10qa.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0001193125-11-263719&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000119312511263719/gme-20110730.xml
0001326380,2011-10-03,https://www.sec.gov/Archives/edgar/data/1326380/000119312511262711/0001193125-11-262711-index.htm,CORRESP,,N/A,5734,N/A
0001326380,2011-09-21,https://www.sec.gov/Archives/edgar/data/1326380/000000000011056171/0000000000-11-056171-index.htm,UPLOAD,,N/A,5734,N/A
0001326380,2011-09-08,https://www.sec.gov/Archives/edgar/data/1326380/000119312511243526/0001193125-11-243526-index.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000119312511243526/d222403d10q.htm,N/A,5734,N/A
0001326380,2011-09-02,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000477/0000950138-11-000477-index.htm,8-K,,N/A,5734,N/A
0001326380,2011-08-19,https://www.sec.gov/Archives/edgar/data/1326380/000095012311078871/0000950123-11-078871-index.htm,CORRESP,,N/A,5734,N/A
0001326380,2011-08-18,https://www.sec.gov/Archives/edgar/data/1326380/000115752311005121/0001157523-11-005121-index.htm,8-K,,N/A,5734,N/A
0001326380,2011-08-01,https://www.sec.gov/Archives/edgar/data/1326380/000000000011046511/0000000000-11-046511-index.htm,UPLOAD,,N/A,5734,N/A
0001326380,2011-07-29,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000430/0000950138-11-000430-index.htm,S-8,,N/A,5734,N/A
0001326380,2011-07-12,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000413/0000950138-11-000413-index.htm,8-K,,N/A,5734,N/A
0000315066,2011-07-11,https://www.sec.gov/Archives/edgar/data/1326380/000031506611003715/0000315066-11-003715-index.htm,SC 13G/A,,N/A,0000,N/A
0001326380,2011-06-27,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000408/0000950138-11-000408-index.htm,8-K,,N/A,5734,N/A
0001326380,2011-06-14,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000387/0000950138-11-000387-index.htm,DEFA14A,,N/A,5734,N/A
0001326380,2011-06-08,https://www.sec.gov/Archives/edgar/data/1326380/000095012311057592/0000950123-11-057592-index.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000095012311057592/d82560e10vq.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0000950123-11-057592&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000095012311057592/gme-20110430.xml
0001326380,2011-06-03,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000368/0000950138-11-000368-index.htm,DEFA14A,,N/A,5734,N/A
0001326380,2011-05-19,https://www.sec.gov/Archives/edgar/data/1326380/000115752311003255/0001157523-11-003255-index.htm,8-K,,N/A,5734,N/A
0001326380,2011-05-16,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000306/0000950138-11-000306-index.htm,8-K,,N/A,5734,N/A
0001326380,2011-05-16,https://www.sec.gov/Archives/edgar/data/1326380/000095012311050780/0000950123-11-050780-index.htm,DEF 14A,,N/A,5734,N/A
0001326380,2011-04-01,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000216/0000950138-11-000216-index.htm,8-K,,N/A,5734,N/A
0001326380,2011-03-30,https://www.sec.gov/Archives/edgar/data/1326380/000095012311030842/0000950123-11-030842-index.htm,10-K,https://www.sec.gov/Archives/edgar/data/1326380/000095012311030842/d80233e10vk.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0000950123-11-030842&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000095012311030842/gme-20110129.xml
0001326380,2011-03-24,https://www.sec.gov/Archives/edgar/data/1326380/000115752311001712/0001157523-11-001712-index.htm,8-K,,N/A,5734,N/A
0000315066,2011-02-14,https://www.sec.gov/Archives/edgar/data/1326380/000031506611002539/0000315066-11-002539-index.htm,SC 13G,,N/A,0000,N/A
0001326380,2011-02-09,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000095/0000950138-11-000095-index.htm,8-K,,N/A,5734,N/A
N/A,2011-02-09,https://www.sec.gov/Archives/edgar/data/1326380/000108525611000015/0001085256-11-000015-index.htm,SC 13G,,N/A,N/A,N/A
0001326380,2011-02-08,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000092/0000950138-11-000092-index.htm,8-K,,N/A,5734,N/A
0000861177,2011-02-04,https://www.sec.gov/Archives/edgar/data/1326380/000086117711000011/0000861177-11-000011-index.htm,SC 13G,,N/A,0000,N/A
0001326380,2011-02-04,https://www.sec.gov/Archives/edgar/data/1326380/000115752311000630/0001157523-11-000630-index.htm,8-K,,N/A,5734,N/A
0001326380,2011-01-10,https://www.sec.gov/Archives/edgar/data/1326380/000108636411000165/0001086364-11-000165-index.htm,SC 13G/A,,N/A,5734,N/A
0001326380,2011-01-06,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000016/0000950138-11-000016-index.htm,8-K,,N/A,5734,N/A
0001326380,2010-12-09,https://www.sec.gov/Archives/edgar/data/1326380/000108636410010030/0001086364-10-010030-index.htm,SC 13G/A,,N/A,5734,N/A
0001326380,2010-12-08,https://www.sec.gov/Archives/edgar/data/1326380/000095012310112044/0000950123-10-112044-index.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000095012310112044/d77600e10vq.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0000950123-10-112044&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000095012310112044/gme-20101030.xml
0001326380,2010-11-18,https://www.sec.gov/Archives/edgar/data/1326380/000115752310006999/0001157523-10-006999-index.htm,8-K,,N/A,5734,N/A
N/A,2010-10-18,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000628/0000950138-10-000628-index.htm,SC 13D/A,,N/A,N/A,N/A
0001326380,2010-09-22,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000581/0000950138-10-000581-index.htm,8-K,,N/A,5734,N/A
0001326380,2010-09-15,https://www.sec.gov/Archives/edgar/data/1326380/000115752310005502/0001157523-10-005502-index.htm,8-K,,N/A,5734,N/A
